match_number,date,stage,group,venue,city,country,team1,team2,team1_goals,team2_goals,went_to_extra_time,went_to_penalties,penalty_winner,attendance,goal_diff,knockout
17,2026-06-16,Group Stage,I,MetLife Stadium,New York,USA,France,Senegal,3,1,False,False,,80545,2,0
18,2026-06-16,Group Stage,I,Gillette Stadium,Boston,USA,Iraq,Norway,1,4,False,False,,63106,-3,0
19,2026-06-16,Group Stage,J,Arrowhead Stadium,Kansas City,USA,Argentina,Algeria,3,0,False,False,,69045,3,0
20,2026-06-16,Group Stage,J,Levi's Stadium,San Francisco Bay Area,USA,Austria,Jordan,3,1,False,False,,68527,2,0
21,2026-06-17,Group Stage,L,BMO Field,Toronto,Canada,Ghana,Panama,1,0,False,False,,42942,1,0
22,2026-06-17,Group Stage,L,AT&T Stadium,Dallas,USA,England,Croatia,4,2,False,False,,70389,2,0
23,2026-06-17,Group Stage,K,NRG Stadium,Houston,USA,Portugal,DR Congo,1,1,False,False,,68777,0,0
24,2026-06-17,Group Stage,K,Estadio Azteca,Mexico City,Mexico,Uzbekistan,Colombia,1,3,False,False,,80824,-2,0
25,2026-06-18,Group Stage,A,Mercedes-Benz Stadium,Atlanta,USA,Czechia,South Africa,1,1,False,False,,67442,0,0
26,2026-06-18,Group Stage,B,SoFi Stadium,Los Angeles,USA,Switzerland,Bosnia and Herzegovina,4,1,False,False,,70026,3,0
27,2026-06-18,Group Stage,B,BC Place,Vancouver,Canada,Canada,Qatar,6,0,False,False,,52497,6,0
28,2026-06-18,Group Stage,A,Estadio Akron,Guadalajara,Mexico,Mexico,South Korea,1,0,False,False,,45522,1,0
29,2026-06-19,Group Stage,C,Lincoln Financial Field,Philadelphia,USA,Brazil,Haiti,3,0,False,False,,68324,3,0
30,2026-06-19,Group Stage,C,Gillette Stadium,Boston,USA,Scotland,Morocco,0,1,False,False,,64146,-1,0
31,2026-06-19,Group Stage,D,Levi's Stadium,San Francisco Bay Area,USA,Turkiye,Paraguay,0,1,False,False,,68827,-1,0
32,2026-06-19,Group Stage,D,Lumen Field,Seattle,USA,USA,Australia,2,0,False,False,,66925,2,0
33,2026-06-20,Group Stage,E,BMO Field,Toronto,Canada,Germany,Ivory Coast,2,1,False,False,,43036,1,0
34,2026-06-20,Group Stage,E,Arrowhead Stadium,Kansas City,USA,Ecuador,Curacao,0,0,False,False,,68598,0,0
35,2026-06-20,Group Stage,F,NRG Stadium,Houston,USA,Netherlands,Sweden,5,1,False,False,,68777,4,0
36,2026-06-20,Group Stage,F,Estadio BBVA,Monterrey,Mexico,Tunisia,Japan,0,4,False,False,,51243,-4,0
37,2026-06-21,Group Stage,H,Hard Rock Stadium,Miami,USA,Uruguay,Cape Verde,2,2,False,False,,64003,0,0
38,2026-06-21,Group Stage,H,Mercedes-Benz Stadium,Atlanta,USA,Spain,Saudi Arabia,4,0,False,False,,68239,4,0
39,2026-06-21,Group Stage,G,SoFi Stadium,Los Angeles,USA,Belgium,Iran,0,0,False,False,,70317,0,0
40,2026-06-21,Group Stage,G,BC Place,Vancouver,Canada,New Zealand,Egypt,1,3,False,False,,52497,-2,0
41,2026-06-22,Group Stage,I,MetLife Stadium,New York,USA,Norway,Senegal,3,2,False,False,,80663,1,0
42,2026-06-22,Group Stage,I,Lincoln Financial Field,Philadelphia,USA,France,Iraq,3,0,False,False,,68324,3,0
43,2026-06-22,Group Stage,J,AT&T Stadium,Dallas,USA,Argentina,Austria,2,0,False,False,,70649,2,0
44,2026-06-22,Group Stage,J,Levi's Stadium,San Francisco Bay Area,USA,Jordan,Algeria,1,2,False,False,,68371,-1,0
45,2026-06-23,Group Stage,L,Gillette Stadium,Boston,USA,England,Ghana,0,0,False,False,,63983,0,0
46,2026-06-23,Group Stage,L,BMO Field,Toronto,Canada,Panama,Croatia,0,1,False,False,,43036,-1,0
47,2026-06-23,Group Stage,K,NRG Stadium,Houston,USA,Portugal,Uzbekistan,5,0,False,False,,68777,5,0
48,2026-06-23,Group Stage,K,Estadio Akron,Guadalajara,Mexico,Colombia,DR Congo,1,0,False,False,,45358,1,0
49,2026-06-24,Group Stage,C,Hard Rock Stadium,Miami,USA,Scotland,Brazil,0,3,False,False,,64478,-3,0
50,2026-06-24,Group Stage,C,Mercedes-Benz Stadium,Atlanta,USA,Morocco,Haiti,4,2,False,False,,68239,2,0
51,2026-06-24,Group Stage,B,BC Place,Vancouver,Canada,Switzerland,Canada,2,1,False,False,,52497,1,0
52,2026-06-24,Group Stage,B,Lumen Field,Seattle,USA,Bosnia and Herzegovina,Qatar,3,1,False,False,,66925,2,0
53,2026-06-24,Group Stage,A,Estadio Azteca,Mexico City,Mexico,Czechia,Mexico,0,3,False,False,,80824,-3,0
54,2026-06-24,Group Stage,A,Estadio BBVA,Monterrey,Mexico,South Africa,South Korea,1,0,False,False,,51243,1,0
55,2026-06-25,Group Stage,E,Lincoln Financial Field,Philadelphia,USA,Curacao,Ivory Coast,0,2,False,False,,68324,-2,0
56,2026-06-25,Group Stage,E,MetLife Stadium,New York,USA,Ecuador,Germany,2,1,False,False,,80663,1,0
57,2026-06-25,Group Stage,F,AT&T Stadium,Dallas,USA,Japan,Sweden,1,1,False,False,,70137,0,0
58,2026-06-25,Group Stage,F,Arrowhead Stadium,Kansas City,USA,Tunisia,Netherlands,1,3,False,False,,68391,-2,0
59,2026-06-25,Group Stage,D,SoFi Stadium,Los Angeles,USA,Turkiye,USA,3,2,False,False,,70492,1,0
60,2026-06-25,Group Stage,D,Levi's Stadium,San Francisco Bay Area,USA,Paraguay,Australia,0,0,False,False,,68827,0,0
61,2026-06-26,Group Stage,I,Gillette Stadium,Boston,USA,Norway,France,1,4,False,False,,64146,-3,0
62,2026-06-26,Group Stage,I,BMO Field,Toronto,Canada,Senegal,Iraq,5,0,False,False,,43036,5,0
63,2026-06-26,Group Stage,G,Lumen Field,Seattle,USA,Egypt,Iran,1,1,False,False,,66925,0,0
64,2026-06-26,Group Stage,G,BC Place,Vancouver,Canada,New Zealand,Belgium,1,5,False,False,,52497,-4,0
65,2026-06-26,Group Stage,H,NRG Stadium,Houston,USA,Cape Verde,Saudi Arabia,0,0,False,False,,68278,0,0
66,2026-06-26,Group Stage,H,Estadio Akron,Guadalajara,Mexico,Uruguay,Spain,0,1,False,False,,45065,-1,0
67,2026-06-27,Group Stage,L,MetLife Stadium,New York,USA,Panama,England,0,2,False,False,,80663,-2,0
68,2026-06-27,Group Stage,L,Lincoln Financial Field,Philadelphia,USA,Croatia,Ghana,2,1,False,False,,68324,1,0
69,2026-06-27,Group Stage,J,Arrowhead Stadium,Kansas City,USA,Algeria,Austria,3,3,False,False,,69045,0,0
70,2026-06-27,Group Stage,J,AT&T Stadium,Dallas,USA,Jordan,Argentina,1,3,False,False,,70649,-2,0
71,2026-06-27,Group Stage,K,Hard Rock Stadium,Miami,USA,Colombia,Portugal,0,0,False,False,,64478,0,0
72,2026-06-27,Group Stage,K,Mercedes-Benz Stadium,Atlanta,USA,DR Congo,Uzbekistan,3,1,False,False,,68239,2,0
73,2026-06-28,Round of 32,,SoFi Stadium,Los Angeles,USA,South Africa,Canada,0,1,False,False,,69237,-1,1
74,2026-06-29,Round of 32,,Gillette Stadium,Boston,USA,Germany,Paraguay,1,1,True,True,Paraguay,63945,0,1
75,2026-06-29,Round of 32,,Estadio BBVA,Monterrey,Mexico,Netherlands,Morocco,1,1,True,True,Morocco,51243,0,1
76,2026-06-29,Round of 32,,NRG Stadium,Houston,USA,Brazil,Japan,2,1,False,False,,68777,1,1
77,2026-06-30,Round of 32,,MetLife Stadium,New York,USA,France,Sweden,3,0,False,False,,80663,3,1
78,2026-06-30,Round of 32,,AT&T Stadium,Dallas,USA,Ivory Coast,Norway,1,2,False,False,,69665,-1,1
79,2026-06-30,Round of 32,,Estadio Azteca,Mexico City,Mexico,Mexico,Ecuador,2,0,False,False,,80824,2,1
80,2026-07-01,Round of 32,,Mercedes-Benz Stadium,Atlanta,USA,England,DR Congo,2,1,False,False,,68239,1,1
81,2026-07-01,Round of 32,,Levi's Stadium,San Francisco Bay Area,USA,USA,Bosnia and Herzegovina,2,0,False,False,,68827,2,1
82,2026-07-01,Round of 32,,Lumen Field,Seattle,USA,Belgium,Senegal,3,2,True,False,,66925,1,1
83,2026-07-02,Round of 32,,BMO Field,Toronto,Canada,Portugal,Croatia,2,1,False,False,,43036,1,1
84,2026-07-02,Round of 32,,SoFi Stadium,Los Angeles,USA,Spain,Austria,3,0,False,False,,70492,3,1
85,2026-07-02,Round of 32,,BC Place,Vancouver,Canada,Switzerland,Algeria,2,0,False,False,,52497,2,1
86,2026-07-03,Round of 32,,Hard Rock Stadium,Miami,USA,Argentina,Cape Verde,3,2,True,False,,64478,1,1
87,2026-07-03,Round of 32,,Arrowhead Stadium,Kansas City,USA,Colombia,Ghana,1,0,False,False,,69045,1,1
88,2026-07-03,Round of 32,,AT&T Stadium,Dallas,USA,Australia,Egypt,1,1,True,True,Egypt,70244,0,1
89,2026-07-04,Round of 16,,Lincoln Financial Field,Philadelphia,USA,Paraguay,France,0,1,False,False,,68324,-1,1
90,2026-07-04,Round of 16,,NRG Stadium,Houston,USA,Canada,Morocco,0,3,False,False,,68777,-3,1
91,2026-07-05,Round of 16,,MetLife Stadium,New York,USA,Brazil,Norway,1,2,False,False,,80663,-1,1
92,2026-07-05,Round of 16,,Estadio Azteca,Mexico City,Mexico,Mexico,England,2,3,False,False,,80824,-1,1
93,2026-07-06,Round of 16,,AT&T Stadium,Dallas,USA,Portugal,Spain,0,1,False,False,,70649,-1,1
94,2026-07-06,Round of 16,,Lumen Field,Seattle,USA,USA,Belgium,1,4,False,False,,66925,-3,1
95,2026-07-07,Round of 16,,Mercedes-Benz Stadium,Atlanta,USA,Argentina,Egypt,3,2,False,False,,68239,1,1
96,2026-07-07,Round of 16,,BC Place,Vancouver,Canada,Switzerland,Colombia,0,0,True,True,Switzerland,52497,0,1
97,2026-07-09,Quarter-final,,Gillette Stadium,Boston,USA,France,Morocco,2,0,False,False,,63811,2,1
98,2026-07-10,Quarter-final,,SoFi Stadium,Los Angeles,USA,Spain,Belgium,2,1,False,False,,70492,1,1
99,2026-07-11,Quarter-final,,Hard Rock Stadium,Miami,USA,Norway,England,1,2,True,False,,64478,-1,1
100,2026-07-11,Quarter-final,,Arrowhead Stadium,Kansas City,USA,Argentina,Switzerland,3,1,True,False,,69045,2,1
101,2026-07-14,Semi-final,,AT&T Stadium,Dallas,USA,France,Spain,0,2,False,False,,70176,-2,1
102,2026-07-15,Semi-final,,Mercedes-Benz Stadium,Atlanta,USA,England,Argentina,1,2,False,False,,68239,-1,1
103,2026-07-18,Third-place,,Hard Rock Stadium,Miami,USA,France,England,4,6,False,False,,64478,-2,1
104,2026-07-19,Final,,MetLife Stadium,New York,USA,Spain,Argentina,1,0,True,False,,80663,1,1
